NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.6,NaN,31.2,NaN,22.5,23.1,24.3,NaN,24.3,25.4,26.7,27.5,29,30.8,31.3,30.8,31.7,33,33.7,36.1,36.9,37.6,38.3,41.3,39.5,41.9,42.9,43.7,45.4,45.7,47.1,49.3,49.8
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.8,24.6,25.4,25.1,26.2,26.9,27.7,28,28.7,29.7,29.9,30.6,31.4,32.4,32.7,33.8,34.2,34.6
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.9,NaN,19.6,20.2,NaN,22.3,24.6,NaN,NaN,NaN,NaN,27.1,27.6,28.1,29,30.4,31,31.8,32.1,32.3,33.4,35,34.6,35.3,35.5,36.9,36.9,37.5,40.3,40.6,40.7,42.4,44.9
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28,28.3,29,30.4,33.5,34.5,35.6,37.4,38.3,39.4,40.1,41.9,42.9,44.1,44.5,46,46.9,48.2,48.7,49.3,50.3,51,52.3,53,53.6,55.2,56.3,56.7,57.9,59.4,60,62
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.1,NaN,17.8,NaN,21.1,NaN,22.5,NaN,25.2,NaN,NaN,31.4,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,17.6,18.5,20.2,21.3,21.3,22.2,22.4,23.3,23.9,24.7,26.6
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.7,NaN,NaN,NaN,NaN,NaN,NaN,17.5,NaN,NaN,18.3,19.2,NaN,19.6,21.6,NaN,NaN,25.4,26.5,25.8,28.4,29.6,31.8,32.8,33.5,34.7,30.9,31.1,32,33,33.7,34.6,35.2,35.8,36.6,37.8,38.9,39.4,40.4,39.3,41.9
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.6,NaN,NaN,33.2,34.2,34.6,35.1,36.4,36.6,37.3,38.1,39.3,39.7,40.5,41.8,42.7,43.6,44.3,45.2,45.9,47.9,42.3
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.8,NaN,15.1,16,NaN,17.8,18.6,NaN,20,20.6,21.5,21.6,23,24,23.9,24.4,25.4,26.2,26.6,27.2,28.6,29,29.8,30.9,32.1,33.5,34.1,34.6,35.2,36.9,37.9,39.7,40.7
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.4,NaN,21.8,21.4,NaN,22.1,22.6,NaN,22.6,23,22.9,23.5,23.2,23.4,24,24.9,24.6,23.9,24.3,25.4,26.4,26.6,27.6,28.1,28.5,27.1,27.6,28.3,28.6,29.1,29.9,31.3,31.1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8,9.6,10,10.5,11,12.2,13,13.9,14.3,15.1,15.6,16.9,17.3,17.7,18.1,18.8,19.3,21.3,21.5,22.4,22.9,23.5,23.7,24.7,26.1,26.7,27.4,28.1,29.1,30.2,31,31.7,31.9,32.7,34.6
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.9,27.9,29.5,30.4,30.8,31.6,32.9,31.3,32.6,33.9,34.3,35.6,37,38.1,39,40.3,40.9,40.6,43.1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.1,42.9,NaN,43,NaN,43.6,44,44.9,45.6,46.4,46.4,47.4,48.5,48.8,49.9,50.9,50.2,50.2,50.1,49.7
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7,NaN,6.1,6.4,NaN,7.5,7.9,NaN,NaN,8.6,9.3,9.4,10,10.4,10.5,11.6,12.2,12.9,13.6,14.4,14.5,14.8,14.9,15.7,16.3,16.9,17.5,17.7,18.7,19.4,19.7,20,20
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.5,30.6,31.8,33.6,34.1,36.6,37.4,38.7,39.9,40.5,41,42.8,43.8,44.8,46.4,46.6,47.3,48.2,49.5,50.5,51.4,51.9,52.7,54,55.6
