2.9,3.2,3.8,4.7,5.2,5.8,6.3,6.6,7.5,8.4,9.7,10.1,10.6,11.9,13.1,14,14.8,18.1,22.6,22.9,23.5,23.9,24.5,25.4,25.7,25.9,26.9,28.9,31,33.6,37.4,44.4,52.4,55.6,56.7,60.6,67,69.6,72.4,80.9,79.1,78.9,84.1,91.7,100,105.5,114.3,112.7,108.1,113.9,133.8
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.6,59.1,59.4,59.6,58.4,61.4,63.9,66.9,67.6,70.2,76.8,81.6,87.6,92.1,95.3,100,108.5,114.3,119.6,126.6,136.3,153.3
7.7,8.4,9.5,11,12.6,15.3,17.8,19.9,21.6,21.8,20.6,19.8,19.5,19.9,20.2,21.2,22.5,24.3,27.7,30.6,31.9,34.1,35.9,38.2,39.9,40.8,41.7,44.4,47.5,50.1,52.5,55.9,59.8,65,72.5,79.6,85.8,89.6,89.2,92,95.7,97.8,99,98.4,100,102.6,106.4,109.4,113.8,118.6,127.1
5.7,6.2,7.5,9.5,10.6,11.9,12.5,13.1,14.5,16.3,18.6,17.6,18.7,18.6,19.5,22.9,26.8,31.6,35.7,34.4,36,36.5,37.2,38.4,36.7,36.7,37.6,37.1,38.2,39.9,41.8,45.1,48.9,52.8,57,63.3,70.5,74.1,72.9,79.4,83.7,87.7,90.1,94.9,100,110,122.7,127.2,129,137.4,157.7
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.9,35.6,38.1,40.6,43.1,46.9,51.6,53,57.2,64.2,70.9,78,88.4,100,106.6,115.3,126.8,137.5,146.7,164
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8,5.1,6.4,7.7,9.2,11.4,15.2,19.6,23.2,25.6,28.5,28.1,28.5,29.8,29.9,30.5,33.4,36.2,40.9,47.6,55.2,60.6,65.2,70.4,77.7,85.2,91.9,100,110,117.3,123.8,130.6,133.8,141.9
7.8,9.1,10.5,11,13,14.2,16.1,18.7,20.5,20.2,19.3,18.8,22.9,26.4,30.9,34.5,32,32.3,32.1,29.7,30.1,29.6,29.3,32.9,35.4,39.2,43.7,47.6,50.8,54.1,57.3,59.3,62.3,69.1,83,102.9,105.7,100.2,88.2,90.7,89.1,86.7,90.1,93.5,100,104.7,109.4,114.5,117.5,123.5,138
7,7.7,9.7,11.6,12.2,12.9,13.3,13.7,14.5,16.5,18.9,22.4,26.8,30,31.2,32.3,35.6,47.6,59.3,57.3,50.4,43.1,38.8,40.3,39.6,41.9,48.6,52.9,56.6,58.8,57.9,61.4,65.3,70.7,76.2,81.6,86.4,87.1,88.3,93.9,96.9,99.2,100.4,100,100,101.3,102.4,103.3,103.8,105.6,110.4
6.7,7.5,8.3,9.9,10.9,12.5,14.3,15.8,18,21.7,24.5,25.7,26.6,27.1,28.8,31,34,37.4,40.6,43.6,45.1,44.2,43.8,43.7,42,41.5,41.4,42.2,45.1,49.1,53,57.5,64.4,74.1,85.5,95.8,102.1,103,95.7,100.6,106.5,106,103.8,101.9,100,100.9,104,107.2,110.7,116.8,124.6
36,38.3,41,43.9,44.8,45.8,48.3,51.8,56.4,60.7,64.9,65.5,65.7,64.3,63.6,63.7,63.2,64.3,66.4,71.6,74.8,78.9,82.7,86.1,87.4,86.2,84.7,83.9,84,84.4,84.4,83.3,83.6,82.3,83.3,83,81.2,82.3,83,83.9,86.8,89.8,92.6,95.5,100,107.5,114.1,121.7,128.7,138.7,154.7
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.7,72.8,79.3,87.6,100.3,114.2,120.3,123.1,136.5,154.6,163.8,166.5,160.3,152.9,144.5,127.7,113.8,105.3,100,97.6,96.6,98.4,105.5,110.2,118.6
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.5,38.2,42.7,47.2,60.6,70.8,77.4,82.3,74.3,72,75.4,80.6,85.2,92.4,100,109.8,131.2,142,148.3,157.8,177.6
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.1,40.4,46.8,51.1,53.1,55.3,52.6,50.8,53.5,50.4,50.1,50.2,50.4,49.6,53.4,60.7,71.4,78.9,81.4,88.8,94.5,100,107.5,111.6,110.7,112.8,116.3,126.1
3.2,3.4,3.8,6.5,7.2,9,10.5,12,14.7,18.4,25,28.3,29.2,28.9,28.3,29.3,31.7,35.2,46.3,56.2,62.4,66.3,66.5,64.6,65.1,62.9,60,61.3,64.7,70,75.8,83,91.5,100.6,108.2,115.2,121.1,123.2,118.6,118.1,119.7,116.7,109.1,104,100,100.3,99.2,98.6,98.5,100.4,103
37,43.4,57.7,65.5,62.9,64.5,67.2,71,77.7,87.9,97.6,105.2,110.3,113.8,116.6,119.7,128.6,136.1,146.7,166.7,173.9,167.2,160,156.3,153.8,151,148.9,146.4,141.8,136.4,130.4,123.5,115.8,108.8,103.5,100.4,99.4,99.9,94,95.3,95.4,94.6,96.1,97.6,100,102.2,104.8,106.8,108.6,108.6,115.1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.4,36.6,42.3,48.2,56.5,62.4,58.3,56.3,55.4,55.3,55.7,57.3,52.1,51.4,52.3,54.4,63.4,69.2,69.6,70.4,75.1,82.6,88.4,89.2,91.2,95.6,96.8,95.8,97.3,100,101.6,102.9,104.3,104,107.5,116.9
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.4,76.9,76,80.1,83.1,86.6,90.9,94.9,100,106,112,119.9,132,151.1,172.2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58,62,66.8,71.4,75.1,77.3,81.8,84.4,88.7,92.5,100,107.3,115.7,126,136.7,144.7,156.1
10.9,12,13.5,15,16.9,22.1,30.7,33.2,31.5,28.9,26,23.1,23.5,23.4,23.4,24.5,25.7,26.9,28.7,29.2,30,32.5,35.2,39.5,42.3,46.9,52.5,58.2,67.7,80.1,88.9,94.7,98,102.3,106.2,110.8,116.1,118.7,113.4,111.4,109.2,101.9,95.8,96.6,100,105.1,113,123.7,132.7,142.8,164.2
2.1,2.4,3,4.2,4.6,4.9,5.2,5.4,5.6,6.2,7.6,10,11,12.4,14.2,15.6,18.3,20.7,22,23.2,22.7,22.8,23.8,27,29.5,32.4,34.4,33.8,34.5,34.4,35,38.7,46.3,54.5,62.2,68.5,76,72.7,71.5,72.9,73.4,76.7,83.5,89,100,114.2,121.6,126,129.9,143.1,181
4.4,4.6,5,5.8,6.5,7.1,7.8,8.2,8.5,9.4,10.3,11.3,12.1,13.8,16.6,21.8,23.4,24.3,22.8,21.1,19.8,18.8,19,21.5,23.1,25.1,28.1,31.3,34.7,40.2,43,45.2,45.9,50.6,54.8,62.3,70.1,69.3,70.7,76.5,82.6,88.2,91.7,94.2,100,107,112.3,114,116.8,121.8,134.5
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.5,47.8,55,65.6,73.8,74.7,76.4,77.6,78.9,81.7,85.4,93,100.2,105.7,106.3,107.5,108.2,110.6,113,113.5,106.3,106.5,107.4,102.1,94.9,93.1,97,100,107.1,117,129,141.9,154.3,168.8
1.9,2,2.4,3.3,3.5,4.1,5.6,7.5,7.8,8.2,8.7,9,10.8,11.6,12.8,14.7,20.7,26.2,32.4,37.5,42.7,42.4,42.3,42.9,44.4,45.5,47.5,49.8,53.2,57.2,62.7,73.3,88,104.1,119.3,135.5,148.8,146.7,137,134.6,124.3,105.9,96.2,96.5,100,104.6,111.1,118.6,124.7,127.5,132.2
5.1,5.5,5.9,6.4,7.6,8.8,10.2,11.6,12.9,13.6,13.6,13.7,13.7,14.1,14.6,15.6,17.6,20.8,24.7,27.6,29.5,26.7,23.8,24.9,24.9,25.1,26.8,29.4,32.1,35.7,38.5,41,43.7,47.8,52,58.5,65.7,66.5,68.6,74,75.9,76.8,80.8,88.4,100,108.2,115.4,114.3,117.2,122.1,134.5
26.2,31.6,37.2,37.4,34.5,33,33.2,34.7,37.6,41.3,45.5,47.7,49.7,52.5,55.1,58.4,62.3,71.6,80.8,80.6,79.2,75.8,71.8,71.8,69,65.3,63.1,62.5,62.4,62.5,63,62.9,63.8,66.2,68.6,72.8,77.1,80,80.4,82.6,87.9,92.1,94.9,97.4,100,101.6,103.6,106.7,110.6,115.4,123.3
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.5,62.5,68.3,75.9,86.2,100,113.6,125.4,134.9,141,173.7,237.5
2.3,3.1,4.2,4.6,4.8,5.3,5.6,6.6,8.5,10.3,10.9,11.1,12.4,13.6,14.8,16.8,19.6,25,29.8,29.5,29.1,27.9,27.4,28.2,28.4,29.4,32,35.6,39.5,45.4,49.1,57.1,66,73.8,78.9,85.1,93.6,89.4,81.4,86.1,84.8,85.2,87.4,94.3,100,107,111.8,115.5,116.6,119.9,130.5
12.2,13.1,14.7,16,17,18.1,20,22.7,25.7,27.8,29.3,30.1,31.3,32.7,34.7,37.4,40.3,42.9,45.3,46.5,46.9,48.1,49.2,50.9,52.2,53.7,55.2,57.9,61.4,65.5,70,74.9,80.6,88.2,97.5,103.1,103,94.6,88.9,86.3,82.6,84.8,90.7,95.1,100,105.6,112.1,119,124.9,134.8,157.2
